Fecha ,public_total,public_corto_pl_,public_largo_pl_,public_local,public_extranj
ene-18,"6,536.30",907,"5,629.30","6,536.30",0
feb-18,"6,571.40",897.9,"5,673.50","6,571.40",0
mar-18,"6,636.40",865.9,"5,770.50","6,636.40",0
abr-18,"6,683.80",839.9,"5,843.90","6,683.80",0
may-18,"6,794.20",872.7,"5,921.50","6,794.20",0
jun-18,"6,696.30",874,"5,822.30","6,696.30",0
jul-18,"6,781.30","1,000.10","5,781.30","6,781.30",0
ago-18,"6,803.00",977.5,"5,825.50","6,803.00",0
sep-18,"6,887.80","1,005.30","5,882.50","6,887.80",0
oct-18,"6,897.00",972,"5,925.00","6,897.00",0
nov-18,"7,020.40",998.1,"6,022.20","7,020.40",0
dic-18,"6,928.60",969.1,"5,959.60","6,928.60",0
ene-19,"6,958.70",907.2,"6,051.50","6,958.70",0
feb-19,"6,996.20",892,"6,104.20","6,996.20",0
mar-19,"7,006.60",826.1,"6,180.50","7,006.60",0
abr-19,"7,142.70",867.4,"6,275.40","7,142.70",0
may-19,"7,232.00",852.9,"6,379.10","7,232.00",0
jun-19,"7,174.60",951.8,"6,222.90","7,174.60",0
jul-19,"7,264.10",940.2,"6,323.80","7,264.10",0
ago-19,"7,368.10",951.4,"6,416.70","7,368.10",0
sep-19,"7,428.40",931.5,"6,496.90","7,428.40",0
oct-19,"7,601.70","1,016.40","6,585.40","7,601.70",0
nov-19,"7,793.70","1,078.40","6,715.30","7,793.70",0
dic-19,"7,661.30","1,140.60","6,520.70","7,661.30",0
ene-20,"7,687.60","1,085.40","6,602.20","7,687.60",0
feb-20,"7,704.70","1,012.60","6,692.10","7,704.70",0
mar-20,"7,793.20","1,128.70","6,664.50","7,793.20",0
