eda,p6b1,p6b2
58, ,
55, ,
28,7,
60,7,
50,7,
48,3,3870
19, ,
37,4,17200
12, ,
65, ,
65, ,
45, ,
65,8,
59,7,
22,7,
42,7,
46, ,
17, ,
16, ,
38,2,3900
30,2,3000
50,3,1720
54, ,
18, ,
27,2,10000
12, ,
71, ,
67,7,
68, ,
55,7,
58, ,
30, ,
86, ,
49,3,258
31,7,
24, ,
44,7,
80, ,
82, ,
48,7,
23,7,
69, ,
61, ,
38,7,
44,7,
30,7,
31, ,
86, ,
53, ,
52,7,
18, ,
14, ,
65, ,
59,7,
59,8,
24, ,
70, ,
24,6,430
65, ,
60,4,1290
93, ,
67, ,
48,7,
48,7,
15, ,
55, ,
57,4,645
45, ,
22,7,
19,7,
23,7,
65, ,
56, ,
47,4,7740
47,2,3000
17, ,
72, ,
75, ,
43, ,
41,8,
18, ,
14, ,
64,3,860
43,3,8600
39,4,5375
20, ,
17, ,
24,3,8600
19, ,
65,3,4300
73, ,
63, ,
62, ,
45,3,10750
39, ,
21,3,6450
19,3,5160
14, ,
60, ,
57, ,
30,2,8000
58,4,6450
54,4,5375
37,2,16340
32,3,6450
47, ,
48, ,
21, ,
19, ,
65, ,
25,7,
53, ,
50,7,
24,7,
22,7,
55,8,
72, ,
87, ,
88, ,
51,2,6000
14, ,
42,4,6000
43,3,5160
20,7,
19,7,
78,3,1290
17, ,
74, ,
42,1,5000
13, ,
57,2,6000
23,7,
20,4,3096
37,7,
16, ,
54,8,
52, ,
17, ,
12, ,
38,8,
62,8,
59,8,
50, ,
35, ,
49, ,
47, ,
31,3,3870
61, ,
27,7,
24, ,
72, ,
79, ,
57,2,7400
60,7,
26,7,
22, ,
54,7,
48,4,2064
24, ,
61,7,
59, ,
15, ,
12, ,
57,3,4730
54, ,
31,3,4730
32,7,
12, ,
36,3,10750
18,4,5160
12,4,645
12, ,
52,7,
49,7,
31, ,
25,7,
16, ,
58,7,
25,4,2400
15, ,
89, ,
50,7,
29,7,
13, ,
47,4,7740
48, ,
24,3,5160
23,3,5160
68,4,430
57,8,
66, ,
45,4,1720
43,4,10320
22, ,
19, ,
74, ,
75,4,1505
72, ,
67, ,
36, ,
19, ,
15, ,
14, ,
68, ,
73, ,
20,3,8600
24,3,8600
39,2,5600
32, ,
30,7,
38,7,
50,4,9030
47,3,8600
23,3,4300
21,2,4000
62, ,
18, ,
21, ,
34, ,
52,7,
46,7,
28,7,
19, ,
25,7,
41, ,
45,7,
12, ,
67, ,
64, ,
51,7,
48,3,3870
24, ,
15, ,
73, ,
57, ,
30, ,
32,7,
70,6,258
31,2,8000
85, ,
17, ,
57,3,30100
60, ,
33,3,17200
84, ,
71,4,1505
47,1,20000
40, ,
90, ,
57, ,
60,3,2580
20, ,
67,1,1000
32, ,
30, ,
45, ,
13, ,
59,4,5160
20, ,
54,7,
34, ,
14, ,
68, ,
32,7,
75, ,
46,2,30000
50,7,
45, ,
13, ,
25,2,10000
44,3,17200
41,7,
34,1,7000
34,2,11600
70,3,4300
30,7,
35, ,
35,8,
14, ,
33,3,8600
73,4,860
49,7,
23, ,
18, ,
12, ,
56,7,
54, ,
27,7,
22, ,
35,2,5600
30,3,4300
15, ,
27,2,6200
88, ,
67, ,
32, ,
58, ,
72,4,10320
31, ,
57,1,4500
37,7,
50,7,
43,8,
40,3,6450
45,4,4644
29, ,
38,4,2580
17, ,
12, ,
34,7,
46, ,
19, ,
19, ,
16, ,
42,3,5590
42,4,3870
19, ,
60,7,
59,3,4300
27, ,
33,3,4300
39, ,
38,1,15000
85, ,
77,7,
43,7,
58,7,
53, ,
46,2,16000
46, ,
67, ,
41, ,
70,7,
66,1,20000
48,2,20000
43,2,16000
14, ,
49,1,15000
50, ,
17, ,
15, ,
37,4,4500
53,8,
54,8,
38,8,
30,8,
89, ,
64, ,
56,7,
54, ,
18,7,
34, ,
31, ,
33, ,
21, ,
24,7,
54,8,
54, ,
16, ,
48, ,
41,2,3600
30,8,
70, ,
68,3,3870
61,7,
40,7,
35, ,
15, ,
52,3,1290
44,3,2580
23, ,
16, ,
36,3,10750
34, ,
15, ,
47,3,5160
30, ,
28, ,
47,3,4300
50, ,
22,3,3440
67, ,
70, ,
80, ,
26,1,5000
57,3,4730
33,7,
25, ,
51,3,8600
53,2,4000
32,1,2000
27,1,4000
21, ,
63,3,4730
59,7,
38,7,
38,1,5000
64, ,
62, ,
52,7,
40,7,
19, ,
17, ,
29,3,2580
53,8,
29, ,
23, ,
78, ,
86, ,
53,7,
48,7,
58,3,10750
52,3,8600
26, ,
28,3,17200
58,3,8600
62,8,
23,7,
68,8,
53,4,5375
65, ,
26,7,
44,7,
59,7,
60,7,
28, ,
58,7,
58, ,
24,7,
74, ,
71, ,
59, ,
27,4,13760
33,7,
28, ,
64, ,
64,4,3440
40,3,5160
23,7,
54,7,
53, ,
19,7,
29, ,
29, ,
30,7,
41, ,
37,4,2150
12, ,
62,8,
50,4,645
23, ,
36,2,5000
36, ,
15, ,
63,7,
49,8,
42, ,
45,8,
58,1,25000
45,2,3000
41,2,4800
19, ,
16, ,
51,2,7000
50, ,
25,7,
21, ,
61,2,5000
59,3,6450
34,3,2580
23, ,
24, ,
36,4,7740
34,4,3870
54,2,8400
48,3,1505
30,8,
26,4,9000
12, ,
90, ,
50,2,9000
54,7,
73,8,
71, ,
47,2,9000
50,2,20000
20, ,
14, ,
64, ,
40,7,
56,7,
54, ,
20,3,3440
50,7,
37,1,5000
28,7,
66,3,2150
65,7,
65, ,
44,7,
15,7,
51,7,
50, ,
16,7,
23,7,
26,7,
36,8,
37,7,
29, ,
41,7,
27,7,
28, ,
63, ,
71, ,
40,8,
12, ,
64, ,
42,7,
37,7,
35,7,
43,7,
46, ,
18, ,
23,7,
19, ,
41,8,
36,7,
39,7,
38, ,
55, ,
58,1,3000
18, ,
14, ,
95, ,
76,7,
76, ,
58,7,
50,7,
55, ,
28, ,
24,8,
84, ,
61, ,
31,7,
29,7,
36,7,
66, ,
66, ,
45,7,
25, ,
18,7,
20,7,
62,4,516
62,7,
36,7,
63,7,
62, ,
69,4,430
63, ,
26, ,
32,3,5590
32, ,
15, ,
14, ,
46, ,
45, ,
19, ,
17, ,
46,3,8600
44,3,5160
22,3,3440
20, ,
18, ,
68, ,
55,2,4200
54, ,
22, ,
62,7,
61, ,
82, ,
46,1,1000
35, ,
14, ,
56,4,9245
34, ,
24, ,
43,7,
27,7,
16, ,
14, ,
39,4,6450
28,7,
24,3,5160
29,3,8600
26, ,
53,8,
68, ,
43,7,
41,7,
59,2,6000
54,1,2000
85, ,
58,3,12900
43,2,12000
16, ,
13, ,
32,2,24000
35,2,32000
32,4,54180
52,7,
50,2,16000
22,2,8000
18, ,
19,2,5000
57,3,8600
53, ,
17, ,
19,3,6020
24,3,9460
54,4,7740
44,3,2580
78, ,
44,4,9030
26, ,
29,7,
53,7,
52,7,
20, ,
14, ,
75,7,
52,7,
48, ,
27,7,
23,7,
21,7,
50,4,2150
27, ,
14, ,
25,7,
75, ,
42, ,
35, ,
84,8,
42, ,
47,1,10000
13, ,
53,3,3440
51,4,516
22, ,
20,7,
17, ,
67, ,
58,3,4300
32, ,
28,7,
24,7,
65,5,300
22,7,
47,4,9000
20, ,
64, ,
60, ,
49,3,5375
47,3,5375
19, ,
15, ,
55,8,
65,8,
35,4,2580
29, ,
16, ,
13, ,
61,7,
47, ,
21, ,
17, ,
58,7,
57, ,
31,7,
31,7,
24,7,
46,4,3870
21,4,3870
22,4,3870
76, ,
44,7,
41,7,
55,7,
32, ,
46,7,
21,7,
38,2,5000
33, ,
85, ,
83, ,
34,7,
29,2,15000
57,7,
55,8,
27,7,
25, ,
60,4,4300
60, ,
64, ,
49,7,
45, ,
23,8,
21, ,
67, ,
62, ,
43, ,
29,7,
61,2,7000
52, ,
23, ,
17, ,
73, ,
71, ,
24,7,
47,3,6450
46, ,
24,7,
15, ,
53,4,2580
25,4,3870
23, ,
35,7,
14, ,
53,4,6000
27,7,
26, ,
42, ,
16, ,
52,7,
54,7,
26,7,
20, ,
54,7,
63, ,
31,7,
33,7,
31,7,
66,7,
40,2,20000
39,1,20000
12, ,
74,3,6450
44,2,6000
42,2,5000
15, ,
52,7,
48, ,
22, ,
33,1,4600
33,3,6020
16, ,
50,4,3870
51,7,
21, ,
64, ,
43,7,
42,7,
40,7,
38,7,
50,8,
55, ,
27,8,
63,8,
60, ,
43,8,
55,8,
50,8,
21,8,
18, ,
17, ,
42,2,4600
49,7,
50, ,
26,7,
23,7,
61, ,
43,2,12000
55,2,10000
84, ,
45,7,
70, ,
69, ,
56,7,
37, ,
32,1,12000
30,1,18000
30,3,8600
29,3,5160
50,7,
45,2,9700
25,2,7800
15, ,
72, ,
52,7,
42, ,
19, ,
17, ,
59,7,
56,3,6020
18, ,
33, ,
33,7,
50,2,10000
56,3,3870
26,7,
26,7,
59, ,
56, ,
32, ,
30,7,
34,7,
14, ,
37,7,
23,2,6000
31,7,
28, ,
29,4,8600
75, ,
64, ,
43,7,
48,7,
22, ,
47,7,
49,7,
43,7,
19, ,
17, ,
58,7,
17, ,
17, ,
48,7,
45, ,
25,7,
20, ,
57,7,
26,8,
16, ,
39,8,
37, ,
13, ,
56,8,
54,8,
36,8,
64,8,
64,8,
50,8,
28,2,9000
65,6,1677
73,2,4000
66, ,
43,2,8000
35, ,
58,4,2580
59,7,
23,3,5160
28,7,
82, ,
60,7,
67,7,
64,7,
66,4,5160
66, ,
38,7,
22,7,
21,3,8600
21,3,5160
47, ,
47,7,
31,7,
25, ,
26,7,
59,2,4600
49,2,2000
16,2,2600
26,2,5000
58, ,
27,7,
55,7,
57,8,
54,2,12000
48,2,12000
21, ,
12, ,
53,2,20000
27,3,12900
24, ,
79,2,10000
38,2,20000
37,2,38000
39,2,6000
35,7,
45,4,6000
42, ,
13, ,
34,3,4973
35,7,
29, ,
83, ,
38,7,
14, ,
12, ,
65, ,
56,2,6000
55, ,
38,3,6451
37,7,
36, ,
16, ,
15, ,
13, ,
26,3,8600
27, ,
58, ,
55,4,3870
71, ,
35,3,8600
39,7,
18,7,
12, ,
67, ,
38, ,
33,2,13000
14, ,
61,3,25800
50,3,25800
14, ,
52,2,25000
57, ,
23, ,
19, ,
85, ,
54,1,18000
52, ,
17,4,2365
59,1,5000
32,2,10000
60,7,
52,3,5160
34, ,
15, ,
27,3,6450
22, ,
48,8,
39, ,
44,2,6000
37, ,
63,8,
38,7,
28,4,7740
18, ,
65, ,
20,2,5000
50, ,
67,1,500
37,7,
35,3,15050
34,8,
14, ,
43,4,11610
51, ,
18,8,
12, ,
55,1,35000
57,1,35000
41, ,
88, ,
60,1,5000
68,1,50000
63, ,
55,4,4300
53,1,4300
29,7,
62,2,20000
61,7,
32,7,
28,7,
25,7,
33,2,2600
12, ,
97, ,
30,7,
29, ,
81, ,
82, ,
41,2,12000
41,2,6000
19, ,
32,2,10000
31,2,6000
40,3,7310
15, ,
19, ,
23,7,
44,7,
39, ,
25,1,3600
24, ,
18,3,3870
22,4,5160
20, ,
65, ,
34,7,
28, ,
47,4,1500
46,4,900
20,4,1500
13, ,
61,4,3870
60,7,
31,7,
31,3,5590
30, ,
61, ,
67,8,
54, ,
37, ,
42,7,
44,3,2150
21, ,
16, ,
30,2,16000
62,7,
58, ,
35,7,
27, ,
34,7,
36,7,
52,7,
54,7,
70,8,
66, ,
48, ,
46,1,50000
44,8,
43, ,
36,8,
71, ,
70, ,
34,8,
36,8,
29,7,
39, ,
68, ,
66, ,
42,3,8600
31,7,
28,7,
42,7,
55,1,120000
63, ,
26,2,4000
18, ,
52,2,6000
49, ,
24,3,3010
19, ,
44,1,3000
40,2,4000
21, ,
32,1,14000
25,1,10000
75, ,
73, ,
57, ,
54, ,
62, ,
52,3,4300
22, ,
28,7,
53,2,8000
53, ,
28,2,5000
65,8,
61, ,
64, ,
44,7,
39, ,
40,7,
17, ,
91, ,
57,1,5000
51,4,6020
32,8,
42,7,
41,4,4515
19, ,
60,7,
76, ,
76, ,
20, ,
49,2,6000
46,1,10000
18, ,
36,8,
34,8,
70, ,
67,7,
58, ,
44,3,4300
29, ,
82, ,
50,8,
52,8,
25,3,3440
30,7,
29,7,
67, ,
40,2,12000
15, ,
63, ,
34,7,
66,7,
61,7,
51,4,6000
56,4,18060
20, ,
25, ,
33,1,4000
72, ,
70, ,
41,2,5160
39,4,5160
49,2,5600
49,4,3000
27,2,5600
30,2,4500
24,4,2580
22, ,
55,4,3870
19, ,
60, ,
51, ,
28, ,
26,2,5000
58,7,
59, ,
42,4,3440
31,2,6800
29, ,
51,7,
28, ,
33,7,
54,8,
50,7,
70, ,
62,2,9600
66,8,
66, ,
33,7,
20, ,
23, ,
49,7,
50,7,
12, ,
37,2,6400
26,2,4000
27,4,3000
50, ,
50,3,5160
25,3,4300
23,3,5590
21,7,
71, ,
38,4,2150
36,7,
12, ,
48, ,
68, ,
22,2,3800
74, ,
72, ,
46,2,12000
41,2,6000
50,2,6000
18, ,
63,3,3010
28, ,
44,7,
28, ,
22, ,
19,3,8600
37,7,
61, ,
31,7,
28,8,
39,1,120000
50,2,7000
30,3,8600
26,3,4300
25, ,
54, ,
31, ,
29,7,
62,2,8000
59, ,
66, ,
59,2,12000
41,2,10000
40,2,10000
61, ,
61, ,
28,7,
37,1,7000
33,7,
72, ,
65, ,
40,3,6020
19, ,
44,3,7740
49, ,
72, ,
68, ,
26, ,
69, ,
40, ,
42, ,
37,3,3870
17, ,
22, ,
69,3,6450
67,3,4300
34,7,
48,3,5160
75, ,
70, ,
51,2,15000
52,2,10000
25,7,
20,7,
46,3,7740
39,3,7740
19, ,
16, ,
47,2,5200
48, ,
21, ,
31,8,
29,8,
59,4,1290
42,7,
59, ,
57, ,
28,7,
20, ,
52,2,2400
48, ,
30,7,
36,7,
26, ,
14, ,
54,2,7200
42,2,8000
13, ,
63, ,
37,4,860
29,1,8000
24,2,5600
26,3,5160
52,4,3225
20,3,6020
14, ,
63,4,7740
64,2,10000
58,7,
30, ,
25, ,
70, ,
55,3,6450
48, ,
25, ,
25, ,
35,8,
29,8,
75, ,
95, ,
44,8,
42,8,
77, ,
58, ,
36,3,6450
36,2,8000
13, ,
35,8,
40,8,
32,8,
17, ,
12, ,
67,7,
32,3,4085
44,2,12000
31,8,
31, ,
57,7,
42,3,8600
43,3,6880
20, ,
54,3,7740
43,7,
22, ,
22, ,
34,7,
34, ,
16, ,
30,7,
25, ,
36,8,
89, ,
84, ,
54,1,500
51, ,
34,2,3000
61,4,6000
59,7,
20, ,
46,4,2580
24,7,
22, ,
22,7,
62, ,
54,8,
17, ,
47,7,
48,8,
45, ,
17, ,
28,7,
30, ,
45,7,
42,7,
20, ,
77, ,
57,7,
18, ,
55,7,
20, ,
41,7,
17, ,
47,7,
46, ,
16, ,
12, ,
49,1,23500
49,1,1500
22,2,6400
18, ,
51,7,
50,1,2000
24,7,
18, ,
70,7,
60,7,
31,7,
37,7,
80, ,
75, ,
43,7,
40,2,3000
19, ,
18, ,
71,7,
65, ,
45,3,7310
34,7,
52,4,7740
48,4,5160
42, ,
65, ,
65, ,
36,8,
34, ,
25,8,
23,1,6000
60,7,
34,2,7600
30,7,
49,7,
25,4,3225
15, ,
28,8,
29, ,
51, ,
37,2,4000
34,2,4000
65, ,
61,3,6450
51,2,5400
44, ,
21, ,
45,3,5160
25,3,4214
15,3,3440
40,3,4300
21,3,4300
20,2,6000
56, ,
24, ,
53,8,
53,8,
28,8,
73, ,
46,8,
42,8,
13, ,
78,8,
76,8,
36,8,
87, ,
74, ,
18,8,
58,8,
47,7,
26,7,
20,8,
16, ,
49,1,7000
19, ,
18,4,8600
59,8,
47, ,
23, ,
20,2,3000
53,3,4730
50,7,
28,7,
26,7,
17,3,3010
29,7,
28,7,
27,7,
68, ,
59,7,
29,7,
17, ,
49,8,
49, ,
22,7,
22, ,
81, ,
33, ,
52,7,
29,4,15480
21, ,
52, ,
16,4,5160
85,4,15000
77, ,
50,2,8600
22, ,
48,2,6000
29,3,2150
41,4,4300
24,3,5160
21,3,5160
18, ,
20, ,
60, ,
41, ,
15, ,
61,7,
55, ,
33,3,8600
32, ,
44,7,
35, ,
16, ,
77, ,
69, ,
39,7,
18, ,
14, ,
89, ,
58,7,
70, ,
63, ,
35,7,
33,7,
14, ,
72,7,
67, ,
71, ,
13, ,
88, ,
54,7,
52, ,
44,7,
48,3,5160
25,7,
23, ,
46,8,
24, ,
89, ,
65,4,3000
36,7,
68,4,3440
73, ,
19, ,
58,7,
58,8,
31,7,
24,7,
50,3,5160
48, ,
22, ,
55,2,20000
32,1,5000
36,8,
35,8,
58,7,
31,7,
78, ,
70,7,
46, ,
46,7,
14, ,
55, ,
26,7,
22, ,
20, ,
68,1,17000
67,3,17200
67, ,
47,4,3870
21,1,7200
86, ,
20, ,
23,3,8600
35,7,
37,7,
12, ,
38,8,
29,8,
29,8,
67, ,
36,8,
17, ,
85, ,
71, ,
73, ,
67, ,
52,7,
30,7,
28, ,
28,7,
67,2,4000
43,8,
42,8,
17, ,
61,2,3400
87, ,
45,8,
66, ,
39,7,
48,2,6000
33, ,
14, ,
55,3,10750
52,3,7740
27,2,2600
22, ,
89, ,
38,8,
33,8,
31,7,
30,7,
33,7,
25, ,
68, ,
34,8,
26,8,
57,3,2150
23,3,2150
21,7,
52,7,
55,4,750
34,7,
66, ,
60,8,
45,8,
15, ,
13, ,
59,7,
36,8,
34,7,
29,7,
50,3,6450
46, ,
27,7,
22, ,
22,7,
29,2,15000
69, ,
57, ,
16, ,
19, ,
28,3,8600
30,1,4800
29,7,
81, ,
39,3,7780
38, ,
18, ,
13, ,
74, ,
72,7,
37,7,
62, ,
61, ,
29, ,
29, ,
23, ,
51,2,9000
50, ,
20,3,6020
19,7,
17, ,
82, ,
47,2,8500
59,4,3870
39,7,
16, ,
40,7,
12, ,
67, ,
63, ,
66,7,
63,7,
60,7,
43,2,7000
47,2,7000
18, ,
14, ,
43,3,6450
37,3,4300
12, ,
43,3,5160
49,1,10000
39,4,2150
17, ,
12, ,
67, ,
24,3,5160
21,3,5590
70,7,
62, ,
39,7,
65, ,
65, ,
40,2,4400
36,7,
19, ,
45,2,11000
47,3,3500
25, ,
19, ,
53, ,
53, ,
24, ,
23, ,
34,2,12000
12, ,
74, ,
23, ,
29,2,3200
35,3,10750
67, ,
59,2,4800
30, ,
29,2,28000
30,2,24000
57, ,
53,7,
49,2,11000
18, ,
64, ,
31,8,
58,7,
57, ,
29, ,
22, ,
44,2,7600
36,2,7400
36, ,
18, ,
53,7,
86, ,
80, ,
57,8,
57,7,
20,7,
19, ,
34,7,
27,4,3225
23, ,
57, ,
61,7,
28,7,
50, ,
49,2,6000
21,7,
18, ,
41,2,4000
41,7,
42,4,5160
22,3,4300
19,4,2580
16, ,
52, ,
50, ,
19, ,
61, ,
66,3,3655
16, ,
37,3,3440
76, ,
69, ,
52,7,
60,4,1720
77, ,
63,7,
67, ,
37, ,
13, ,
56,1,6000
51, ,
20, ,
67, ,
61, ,
31,7,
65, ,
30, ,
37,1,8000
15, ,
33,7,
26, ,
37,7,
35, ,
15, ,
12, ,
29,3,7740
29,3,1075
63, ,
59,2,3000
27,7,
26, ,
60,3,4300
59,1,12000
27,1,7300
80, ,
46,7,
45,4,12900
41, ,
23,7,
19,8,
15,7,
57,7,
56, ,
37,7,
32,7,
46, ,
49,7,
22, ,
18, ,
66, ,
76,7,
71, ,
69, ,
35,7,
36, ,
89, ,
59,7,
33,3,8600
36,4,860
12,4,430
30,3,4300
30,7,
26,4,6450
52,4,6450
53,3,12900
18,4,4730
29,3,12900
30, ,
59,7,
59,3,1720
43,3,5590
44,7,
14, ,
42, ,
20,2,3600
14, ,
38, ,
69, ,
64, ,
43,7,
19,3,4300
17, ,
74, ,
50,7,
49,7,
33,7,
37,4,5160
58,4,4300
17,4,2580
14, ,
12, ,
12, ,
51,4,6450
53, ,
29,7,
20,7,
28,3,6400
27,3,4300
33,8,
30,8,
12, ,
70, ,
51,2,3400
32,2,4000
31,2,4600
25,4,7740
32,8,
32,8,
56,2,5400
23, ,
24,2,7200
87, ,
52,4,9000
50, ,
20,4,2085
30,7,
14, ,
58, ,
63, ,
36,7,
35,7,
54,8,
57, ,
58,7,
27, ,
21,7,
14, ,
33,3,6880
31, ,
68, ,
55,2,6000
33,2,8000
26, ,
50, ,
50,8,
20, ,
40,7,
39,7,
39,7,
66,8,
78, ,
73,7,
30, ,
57,7,
38,7,
80, ,
82, ,
70, ,
44,7,
41,7,
47,4,3225
50,3,6450
26,3,2795
23,3,4300
25,2,5000
31, ,
50,1,6000
49,2,7000
25,2,6000
16, ,
55, ,
28,2,30000
25,3,9460
26,3,5160
55,7,
54,7,
45,7,
37, ,
45, ,
24, ,
20, ,
34,1,20000
31,1,14000
44,1,6000
41,1,15000
57,7,
79, ,
26, ,
69, ,
48,7,
76, ,
78, ,
52,7,
43,7,
48,7,
22,4,2580
24,3,3655
38,7,
42,2,8000
39,1,15000
64, ,
72,2,4000
58,7,
86, ,
55,2,14000
30,2,9000
23, ,
94, ,
83, ,
57, ,
50,7,
60,7,
23,7,
50,2,5400
56,4,1935
19,3,5590
13, ,
51,7,
41,4,6000
21,4,4500
20,4,3870
17,4,3000
57,7,
31,3,8600
32,3,2580
15,3,1290
32, ,
28,7,
17,7,
57,4,6000
57, ,
19, ,
38,2,8800
20,3,6450
14, ,
43,1,2000
39,3,12900
39,2,12000
37,2,7000
16, ,
34,3,4300
38,2,2000
31,2,7000
30,7,
60,7,
55, ,
33,7,
19, ,
19, ,
35,7,
39,7,
19, ,
15, ,
21,7,
63,4,8280
58, ,
38,7,
36, ,
17, ,
49, ,
14, ,
27,7,
24, ,
96, ,
63,4,2580
62, ,
58,7,
25,8,
74,4,1500
64, ,
58, ,
52, ,
29, ,
22,8,
42, ,
32,3,2795
13, ,
39,3,4085
19, ,
28,7,
51, ,
21, ,
49,4,10320
30,3,5590
27, ,
26, ,
31,4,20640
38,3,10750
