Fecha ,total_public,cetes,bondes,udibonos,bonos,bondes_d
feb-13,"4,893,377,828.42","814,954,179.00",0,"928,256,738.42","2,211,987,180.00","938,179,731.00"
mar-13,"5,029,669,762.42","832,860,377.00",0,"968,674,952.42","2,283,164,340.00","944,970,093.00"
abr-13,"5,216,416,627.89","833,265,051.00",0,"1,017,355,469.89","2,400,955,770.00","964,840,337.00"
may-13,"5,115,932,827.15","830,198,602.00",0,"966,145,401.15","2,342,302,570.00","977,286,254.00"
jun-13,"4,923,007,404.19","848,758,847.00",0,"920,266,219.19","2,157,686,280.00","996,296,058.00"
jul-13,"4,927,432,180.76","836,197,088.00",0,"926,917,807.76","2,162,237,470.00","1,002,079,815.00"
ago-13,"4,992,173,327.54","826,331,664.00",0,"944,916,030.54","2,195,879,320.00","1,025,046,313.00"
sep-13,"5,107,017,512.24","825,114,764.00",0,"987,510,144.24","2,273,845,260.00","1,020,547,344.00"
oct-13,"5,169,784,461.77","801,738,741.00",0,"999,107,876.77","2,321,806,650.00","1,047,131,194.00"
nov-13,"5,214,321,613.00","812,844,225.00",0,"1,009,678,737.00","2,350,458,960.00","1,041,339,691.00"
dic-13,"5,150,496,347.91","952,083,488.00",0,"940,121,448.91","2,195,673,170.00","1,062,618,241.00"
ene-14,"5,193,254,882.25","932,882,905.00",0,"955,395,576.25","2,248,849,270.00","1,056,127,131.00"
feb-14,"5,344,015,830.59","956,900,614.00",0,"993,685,435.59","2,319,749,150.00","1,073,680,631.00"
mar-14,"5,471,428,058.96","946,211,632.00",0,"1,022,478,735.96","2,441,285,770.00","1,061,451,921.00"
abr-14,"5,535,896,999.86","919,519,073.00",0,"1,045,741,414.86","2,485,037,040.00","1,085,599,472.00"
may-14,"5,694,442,527.75","934,855,798.00",0,"1,099,177,093.75","2,582,843,830.00","1,077,565,806.00"
jun-14,"5,677,387,397.42","950,274,325.00",0,"1,114,603,830.42","2,516,980,300.00","1,095,528,942.00"
jul-14,"5,767,196,707.50","969,719,374.00",0,"1,140,443,329.50","2,568,079,370.00","1,088,954,634.00"
ago-14,"5,797,606,637.77","906,624,711.00",0,"1,164,393,634.77","2,619,175,190.00","1,107,413,102.00"
sep-14,"5,782,051,319.38","924,657,265.00",0,"1,152,800,391.38","2,606,418,530.00","1,098,175,133.00"
oct-14,"5,936,186,972.41","954,670,766.00",0,"1,191,288,323.41","2,659,349,000.00","1,130,878,883.00"
nov-14,"6,097,935,210.33","1,014,380,685.00",0,"1,216,787,317.33","2,738,821,490.00","1,127,945,718.00"
dic-14,"5,935,661,987.70","1,010,576,883.00",0,"1,128,037,733.70","2,638,704,980.00","1,158,342,391.00"
ene-15,"6,098,623,431.42","1,007,175,594.00",0,"1,156,340,606.42","2,772,161,980.00","1,162,945,251.00"
feb-15,"6,108,106,636.79","1,000,552,894.00",0,"1,155,796,601.79","2,758,787,440.00","1,192,969,701.00"
mar-15,"6,150,274,065.32","1,029,728,007.00",0,"1,147,390,258.32","2,773,422,540.00","1,199,733,260.00"
abr-15,"6,193,518,167.85","1,026,579,013.00",0,"1,165,020,119.85","2,808,958,770.00","1,192,960,265.00"
may-15,"6,287,372,490.04","1,041,493,444.00",0,"1,189,575,686.04","2,857,475,720.00","1,198,827,640.00"
jun-15,"6,165,501,462.19","1,025,488,859.00",0,"1,180,241,293.19","2,729,895,590.00","1,229,875,720.00"
jul-15,"6,229,135,598.30","1,016,193,771.00",0,"1,201,294,926.30","2,781,723,970.00","1,229,922,931.00"
ago-15,"6,276,767,282.93","1,033,884,007.00",0,"1,212,131,086.93","2,829,343,690.00","1,201,408,499.00"
sep-15,"6,297,569,111.55","984,017,892.00",0,"1,232,032,571.55","2,883,216,880.00","1,198,301,768.00"
oct-15,"6,288,705,959.33","893,970,427.00",0,"1,251,191,270.33","2,936,971,320.00","1,206,572,942.00"
nov-15,"6,293,215,654.16","847,331,781.00",0,"1,257,370,272.16","2,972,306,570.00","1,216,207,031.00"
dic-15,"6,199,023,377.28","865,339,283.00",0,"1,229,573,680.28","2,870,399,920.00","1,233,710,494.00"
ene-16,"6,255,430,831.02","826,603,578.00",0,"1,273,163,231.02","2,944,308,800.00","1,211,355,222.00"
feb-16,"6,309,629,093.46","816,337,223.00",0,"1,294,255,634.46","2,972,373,730.00","1,226,662,506.00"
mar-16,"6,297,387,225.42","714,334,970.00",0,"1,329,653,117.42","3,045,581,870.00","1,207,817,268.00"
abr-16,"6,354,386,833.13","679,656,508.00",0,"1,362,567,727.13","3,113,564,120.00","1,198,598,478.00"
may-16,"6,220,376,988.63","675,528,080.00",0,"1,313,167,771.63","3,056,764,590.00","1,174,916,547.00"
jun-16,"6,034,379,129.51","733,204,344.00",0,"1,222,482,005.51","2,936,866,580.00","1,141,826,200.00"
jul-16,"6,133,213,591.54","764,553,613.00",0,"1,265,351,888.54","2,959,142,570.00","1,144,165,520.00"
ago-16,"6,273,854,728.99","774,927,459.00",0,"1,270,583,377.99","3,021,638,090.00","1,206,705,802.00"
sep-16,"6,279,041,600.81","764,122,117.00",0,"1,293,514,971.81","3,043,260,230.00","1,178,144,282.00"
oct-16,"6,192,835,572.71","730,902,351.00",0,"1,288,701,932.71","3,017,252,610.00","1,155,978,679.00"
nov-16,"6,136,758,638.63","746,743,945.00",0,"1,277,453,866.63","2,939,160,640.00","1,173,400,187.00"
dic-16,"5,977,948,665.42","762,360,520.00",0,"1,290,932,863.42","2,766,793,270.00","1,157,862,012.00"
ene-17,"6,083,887,868.04","776,400,601.00",0,"1,311,295,461.04","2,822,865,570.00","1,173,326,236.00"
feb-17,"6,147,876,922.84","780,779,682.00",0,"1,335,510,684.84","2,869,315,150.00","1,162,271,406.00"
mar-17,"6,327,298,566.31","793,414,843.00",0,"1,373,446,350.31","2,968,009,300.00","1,192,428,073.00"
abr-17,"6,440,836,167.61","856,266,198.00",0,"1,413,284,733.61","2,993,713,540.00","1,177,571,696.00"
may-17,"6,453,787,490.29","810,046,377.00",0,"1,429,005,368.29","3,009,270,440.00","1,205,465,305.00"
jun-17,"6,476,638,735.99","878,598,493.00",0,"1,449,708,141.99","2,949,193,520.00","1,199,138,581.00"
jul-17,"6,529,139,494.29","880,092,517.00",0,"1,465,146,223.29","2,968,120,210.00","1,215,780,544.00"
ago-17,"6,644,914,052.53","896,874,706.00",0,"1,492,385,730.53","3,025,182,890.00","1,230,470,726.00"
sep-17,"6,728,808,199.02","887,539,470.00",0,"1,531,112,320.02","3,053,908,260.00","1,256,248,149.00"
