fecha,priv_no_financ_total-residentes,priv_corto_pl_or-residentes,priv_largo_pl_or-residentes,priv_corto_pl_rem-residentes,priv_largo_pl_rem-residentes,priv_tasa_fija-residentes,priv_tasa_var-residentes,priv_tasa_var_inf-residentes,priv_tasa_var_otro-residentes,priv_tasa_no_id-residentes,priv_aaa-residentes,priv_aa-residentes,priv_bbb_mayor-residentes,priv_bbb_menor-residentes,priv_calif_no_id-residentes,priv_local-residentes,priv_extranj-residentes,priv_hipot-residentes,priv_no_financ_total-no_residentes,priv_corto_pl_or-no_residentes,priv_largo_pl_or-no_residentes,priv_corto_pl_rem-no_residentes,priv_largo_pl_rem-no_residentes,priv_tasa_fija-no_residentes,priv_tasa_var-no_residentes,priv_tasa_var_inf-no_residentes,priv_tasa_var_otro-no_residentes,priv_tasa_no_id-no_residentes,priv_aaa-no_residentes,priv_aa-no_residentes,priv_bbb_mayor-no_residentes,priv_bbb_menor-no_residentes,priv_calif_no_id-no_residentes,priv_local-no_residentes,priv_extranj-no_residentes,priv_hipot-no_residentes
01/11/2018,530,8.7,521.4,24.6,505.5,263.7,262.2,94.4,167.8,4.1,211.1,141.7,139.8,4.7,32.7,513.8,16.3,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,0,0,5.4,6.4,0,0
01/12/2018,536.3,9,527.3,28.8,507.6,263.5,272.8,103.4,169.4,0,219.9,138.7,128.2,4.7,44.8,520.6,15.7,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,0,0,5.4,6.4,0,0
01/01/2019,536.7,10.9,525.8,32.5,504.2,264.6,272.1,103.8,168.3,0,221.7,138.8,137.7,4.8,33.7,521.4,15.2,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,0,0,5.4,6.4,0,0
01/02/2019,538.2,12.1,526.2,37.9,500.3,265.5,272.7,103.8,168.9,0,222.5,138.8,138,4.9,34.1,522.8,15.4,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,0,0,5.4,6.4,0,0
01/03/2019,544.9,11.6,533.3,39.7,505.2,266.4,278.5,103.6,175,0,225.4,138.5,141.1,4.9,35.1,528.6,16.4,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,0,0,5.4,6.4,0,0
01/04/2019,546,12.6,533.3,42.6,503.4,267.8,276.4,99.3,177.1,1.8,226.9,139.4,140.5,4.8,34.3,529.9,16.1,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,0,0,5.4,6.4,0,0
01/05/2019,544.8,11.5,533.3,37.2,507.5,271,273.8,99.3,174.6,0,222.1,145,137.2,4.9,35.5,528.2,16.6,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,0,0,5.4,6.4,0,0
01/06/2019,558.2,12.4,545.8,39.7,518.5,273.3,285,108.1,176.9,0,230.9,141.9,141.7,4.7,39.1,542,16.2,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,0,0,5.4,6.4,0,0
01/07/2019,547.4,13,534.3,45.2,502.2,273.5,273.9,108.2,165.7,0,231.5,130.9,141.2,4.7,39.1,531.3,16,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,0,0,5.4,6.4,0,0
01/08/2019,548.1,13,535.1,46.1,502,273.8,274.3,108.4,165.9,0,232.1,135.2,137,4.8,39,531.2,17,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,0,0,5.4,6.4,0,0
01/09/2019,541.6,14.4,527.2,53.5,488.2,270.7,270.9,108.2,162.7,0,236.9,131,169,4.7,0,540.7,0.9,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,5.4,0,0,6.4,0,0
01/10/2019,536.3,14,522.3,47.3,489,265.2,271.1,108.6,162.5,0,241.4,121.1,169.1,4.6,0,535.4,0.9,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,5.4,0,0,6.4,0,0
01/11/2019,547.6,13.4,534.2,47.7,499.9,273.1,274.5,109.4,165.1,0,246.4,126,170.7,4.4,0,546.7,0.9,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,5.4,0,0,6.4,0,0
01/12/2019,546.5,12.1,534.4,45.5,501.1,273.9,272.6,111.9,160.7,0,245,124.6,172.4,4.4,0.1,545.7,0.8,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,5.4,0,0,6.4,0,0
01/01/2020,543.6,12.6,531,46.5,497.1,270.4,273.2,112.6,160.6,0,248.3,122.3,168.3,4.4,0.4,542.8,0.9,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,5.4,0,0,6.4,0,0
01/02/2020,547.2,13.9,533.3,38.2,509,268.6,278.7,113,165.7,0,248.2,122.4,169.4,4.3,2.9,546.3,0.9,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,5.4,0,0,6.4,0,0
01/03/2020,550.8,11.9,538.9,44.5,506.3,269.6,281.2,113.7,167.5,0,248,126.9,166.9,5.9,3.1,549.7,1.1,0,6.4,0,6.4,0,6.4,6.4,0,0,0,0,0,1,5.4,0,0,6.4,0,0
