periodo,FBCF,Consumo,PIB
2014/03,11060605.77,3553520.201,16780482.77
2014/04,11129879.24,3707618.538,16967333.84
2015/01,11198781.5,3615795.617,17060757.79
2015/02,11276520.52,3750672.465,17237670.2
2015/03,11383042.27,3839383.736,17446826.06
2015/04,11541333.61,3778988.261,17443715.22
2016/01,11611235.95,3803775.612,17549061.86
2016/02,11615440.49,3750365.425,17626019.34
2016/03,11808783.66,3764327.24,17820267.67
2016/04,11953865.55,3830547.159,18022420.82
2017/01,12032059.11,3716737.683,18108948.41
2017/02,12149631.45,3708553.422,18168351.41
2017/03,12187957.18,3733042.346,18111156.83
2017/04,12247628.2,3759598.347,18324436.98
2018/01,12432027,3834111.649,18567856.4
2018/02,12415784.04,3817201.294,18521633.61
2018/03,12477622.49,3756387.948,18578257.96
2018/04,12417552.85,3642723.935,18590228.01
2019/01,12431273.59,3723153.158,18566766.49
2019/02,12498878.86,3594507.428,18547684.05
2019/03,12568885.94,3516287.083,18532013.87
